D	N	theta_moyen	        theta_goc	Δtheta
3	107	20.201527956698715	20.3612035	.159675543301285
3	108	20.194063381374765	20.3044447	.110381318625235
3	109	19.996282588150343	20.1493196	.153037011849657
3	110	19.954139906976806	20.1113276	.157187693023194
3	111	19.871532696438685	19.9824769	.110944203561315
3	112	19.763603355385449	19.8913044	.127701044614551
3	113	19.606847025037229	19.8056013	.198754274962771
3	114	19.532579352569581	19.7450093	.212429947430419
3	115	19.424932155372410	19.6239931	.199060944627590
3	116	19.309701231325334	19.5497969	.240095668674666
3	117	19.221046785243868	19.4612911	.240244314756132
3	118	19.138786477199275	19.3893497	.250563222800725
3	119	19.198207042741387	19.3257514	.127544357258613
3	120	19.157909050344571	19.3240201	.166111049655429
3	121	18.997827126337281	19.1357298	.137902673662719
3	122	18.899624610559108	19.0700369	.170412289440892
3	123	18.839871390783344	19.0063891	.166517709216656
3	124	18.672005854114254	18.9539116	.281905745885746
3	125	18.653196123372929	18.8448151	.191618976627071
3	126	18.569572694900604	18.7815856	.212012905099396
3	127	18.497108879500299	18.6900568	.192947920499701
3	128	18.421677614299131	18.6349726	.213294985700869
3	129	18.455329572289230	18.5634726	.108143027710770
3	130	18.372481610009714	18.5103522	.137870589990286
4	5	104.47751190262841	104.4775121	.00000019737159
4	6	89.999999697436266	90.0000000	.000000302563734
4	7	89.999999917878782	90.0000000	.000000082121218
4	8	89.999999999886754	90.0000000	.000000000113246
4	9	76.811005731455182	80.6761150	3.865109268544818
4	10	71.999999940991913	80.4059318	8.405931859008087
4	11	74.285447114405756	76.6790498	2.393602685594244
4	12	75.271856612333522	75.5224878	.250631187666478
4	13	69.731278634983099	72.1036706	2.372391965016901
4	14	71.154422029320301	71.3661859	.211763870679699
4	15	69.295188150044922	69.4519870	.156798849955078
4	16	67.190411629602664	67.1930021	.002590470397336
4	17	63.874657681397302	65.6531563	1.778498618602698
4	18	63.277475731957907	64.9872827	1.709806968042093
4	19	62.967392641630973	64.2618766	1.294483958369027
4	20	63.789968670838604	64.2618766	.471907929161396
4	21	61.791966792435048	61.8760316	.084064807564952
4	22	59.057758661110412	60.1398863	1.082127638889588
4	23	57.888140853527048	60.0000000	2.111859146472952
4	24	55.309100594346212	60.0000000	4.690899405653788
4	25	54.965743006549246	57.4988826	2.533139593450754
4	26	57.246756849936645	57.2625923	.015835450063355
